"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 08, 2017","245.23","238.38","246.66","226.68","104.33K","2.87%"
"Jul 07, 2017","238.38","265.35","265.80","233.84","141.86K","-10.16%"
"Jul 06, 2017","265.35","264.77","273.00","258.37","68.69K","0.22%"
"Jul 05, 2017","264.77","266.68","272.12","249.53","124.79K","-0.72%"
"Jul 04, 2017","266.68","273.99","283.00","260.00","121.43K","-2.67%"
"Jul 03, 2017","273.99","277.64","283.98","266.45","96.10K","-1.31%"
"Jul 02, 2017","277.64","255.00","285.91","242.81","139.58K","8.88%"
"Jul 01, 2017","255.00","275.62","277.63","238.00","204.66K","-7.48%"
"Jun 30, 2017","275.62","285.30","301.90","267.35","110.51K","-3.39%"
"Jun 29, 2017","285.30","311.62","318.27","276.00","177.17K","-8.45%"
"Jun 28, 2017","311.62","279.00","318.27","255.00","260.10K","11.69%"
"Jun 27, 2017","279.00","251.30","279.00","204.11","312.09K","11.02%"
"Jun 26, 2017","251.30","277.00","286.85","214.99","388.66K","-9.28%"
"Jun 25, 2017","277.00","296.89","306.39","253.20","145.30K","-6.70%"
"Jun 24, 2017","296.89","324.37","327.55","291.53","55.85K","-8.47%"
"Jun 23, 2017","324.37","320.94","329.90","316.36","30.17K","1.07%"
"Jun 22, 2017","320.94","321.66","328.99","305.00","100.52K","-0.22%"
"Jun 21, 2017","321.66","344.15","348.50","287.11","183.66K","-6.53%"
"Jun 20, 2017","344.15","355.50","366.52","328.00","97.91K","-3.19%"
"Jun 19, 2017","355.50","348.88","362.50","344.13","49.84K","1.90%"
"Jun 18, 2017","348.88","364.56","377.46","336.89","80.92K","-4.30%"
"Jun 17, 2017","364.56","348.44","366.08","332.00","62.79K","4.63%"
"Jun 16, 2017","348.44","338.70","355.51","305.22","99.39K","2.88%"
"Jun 15, 2017","338.70","335.95","344.00","265.00","327.57K","0.82%"
"Jun 14, 2017","335.95","382.70","385.73","315.00","169.59K","-12.22%"
"Jun 13, 2017","382.70","386.90","395.00","345.61","126.37K","-1.09%"
"Jun 12, 2017","386.90","336.33","412.21","297.00","335.23K","15.04%"
